id	text
am-ET_387	በኢትዮጵያ በማህበራዊ ስብሰባዎች ላይ የታወቀ የካርድ ጨዋታ ምንድን ነው?
en-ET_387	What is the popular card game played during social gatherings in Ethiopia?
am-ET_388	ከኢትዮጵያ የሚሄዱ ጎብኝዎች በጣም የታወቀ የውጭ ሀገር መዳራሻ ቦታ የት ነው?
en-ET_388	Where is the most popular tourist destination abroad for people from Ethiopia?
am-ET_389	በኢትዮጵያ ውስጥ እጅግ ዝነኛ የሆነው ግንብ/ፎቅ ስም ምን ይባላል?
en-ET_389	What is the name of the most famous tower in Ethiopia?
am-ET_390	በኢትዮጵያ በብዛት ለምግብለት የሚውል ነፍሳት  ምንድነው?
en-ET_390	What edible insect is eaten most often in Ethiopia?
am-ET_391	በኢትዮጵያ ምን የእርሻ ምርት ውጤቶች በብዛት ወደ ውጭ አገር ይላካሉ?
en-ET_391	Which agricultural product is exported most often in Ethiopia?
am-ET_392	በኢትዮጵያ ምን ዓይነት ጣፋጮች በጣም ታዋቂ ናቸው?
en-ET_392	What are the most popular sweets in Ethiopia?
am-ET_393	በኢትዮጵያ ምን ዓይነት ስፖርት መጠጥ እጅግ ታዋቂ ነው?
en-ET_393	What is the most popular sports drink in Ethiopia?
am-ET_394	በኢትዮጵያ ሰዎች አማካኝ ትምህርት ደረጃ ምንድነው?
en-ET_394	What is the average education level for people in Ethiopia?
am-ET_395	ከኢትዮጵያ ለትምህርት ወደ ዉጭ አሀር የሚሄዱ ተማሪዎች በተለይ የሚያጠኑት ሙያ ምንድን ነው?
en-ET_395	Which profession is most commonly studied abroad by students from Ethiopia?
am-ET_396	በኢትዮጵያ የትኛው የሳምንቱ ቀን በተለይ ሰዎች ሃይማኖታዊ እንቅስቃሴዎችን ያደርጋሉ? (ምሳሌ ሰኞ, ማክሰኞ)
en-ET_396	Which day of the week do most families in Ethiopia practice religious activities? (e.g. Monday, Tuesday)
am-ET_397	በኢትዮጵያ በጣም ታዋቂ የሆነው በተለይ ብሔራዊ የነፃነት ቀን የሚከበርበት ሁኔታ/መንገድ ምን አይነት ነው?
en-ET_397	What is the most popular way to celebrate Independence Day in Ethiopia?
am-ET_398	በኢትዮጵያ ልጆች መካከል እጅግ ታዋቂ የሆነ መጠጥ ምንድነው?
en-ET_398	What is the most popular beverage among children in Ethiopia?
am-ET_399	በኢትዮጵያ በጣም ታዋቂ የሆነው በተለይ ብሔራዊ የነፃነት ቀን የሚከበርበት ቦታ ስም ማን ይባላል?
en-ET_399	What is the most popular place in Ethiopia to celebrate Independence Day?
am-ET_400	በኢትዮጵያ በተለይ ለልደት ዝግጅት የሚዘመር መዝሙር ስም ማን ይባላል?
en-ET_400	What is the name of the song that is typically sung at birthday parties in Ethiopia?
am-ET_401	በኢትዮጵያ ት/ቤቶች ፊት ለፊት የሚሸጡ አማራጮች ምንናን ናቸው?
en-ET_401	What snacks are usually sold in front of schools in Ethiopia?
am-ET_402	በኢትዮጵያ ለምግብ ማብሰል በተለይ የሚጠቀምበት ዘይት ምንድን ነው?
en-ET_402	What oil is usually used for cooking in Ethiopia?
am-ET_403	በኢትዮጵያ በእርግዝና ያሉ ሴቶች በተደጋጋሚ የሚጠቀሙት ምግብ ምን አይነት ነው?
en-ET_403	What food is commonly consumed by pregnant women in Ethiopia?
am-ET_404	በኢትዮጵያ ምን ዓይነት ከአልኮል ነፃ የሆነ ባህላዊ መጠጥ እጅግ ታዋቂ ነው?
en-ET_404	What is the most popular traditional non-alcoholic drink in Ethiopia?
am-ET_405	በኢትዮጵያ ፓርኮች ውስጥ በጣም የሚገኙ ስፖርት ተቋማት እነማን ናቸው?
en-ET_405	What sports facilities are generally available in parks in Ethiopia?
am-ET_406	በኢትዮጵያ የሽማግሌዎች በፓርኮች ውስጥ የሚያደርጉት የተለመዱ እንቅስቃሴዎች ምንድናቸው?
en-ET_406	What are the common activities that seniors usually do in parks in Ethiopia?
am-ET_407	በኢትዮጵያ ወላጆች እና ልጆች በጋራ በተለይ የሚጫወቱ ስፖርቶች ምንናን ናቸው?
en-ET_407	What sports do parents and children commonly play together in Ethiopia?
am-ET_408	የኢትዮጵያ ብሄራዊ እግር ኳስ ቡድን ጋር የተያያዘ ቀለም ምንድን ነው?
en-ET_408	What color is associated with the national soccer team of Ethiopia?
am-ET_409	በኢትዮጵያ በትምህርት ቤት መምህራን ለተለመደ ልብስ አይነት ምንድነው?
en-ET_409	What is the common dress code for school teachers in Ethiopia?
am-ET_410	በኢትዮጵያ ትምህርት ቤቶች ውስጥ በሙዚቃ የተያያዘ እና ተወዳጅ የተጨማሪ ትምህርት እንቅስቃሴ ምንድን ነው?
en-ET_410	What is the most popular extracurricular activity related to music in schools in Ethiopia?
am-ET_411	በኢትዮጵያ ትምህርት ቤቶች ውስጥ የትኛው ሃይማኖት በትምህርት መልክ ይሰጣል?
en-ET_411	What religion is mainly taught in schools in Ethiopia?
am-ET_412	ትምህርት ቀን በኢትዮጵያ በምን ቀን ይከበራል? (በወር/ቀን ቅፅ ምሳሌ 12/31 እንደሆነ ያቅርቡ።)
en-ET_412	What date is Education Day celebrated in Ethiopia? (Provide in MM/DD format (e.g., 12/31).)
am-ET_413	በኢትዮጵያ በተራራማ አካባቢዎች ሰዎች ዋና ሙያቸው ምንድን ነው?
en-ET_413	What is the main occupation of people in mountainous areas in Ethiopia?
am-ET_414	በኢትዮጵያ በባህር ዳርቻ አካባቢ የሚኖሩ ሰዎች ዋና ስራቸው ምን ነው?
en-ET_414	What is the main occupation of people in coastal areas in Ethiopia?
am-ET_415	በኢትዮጵያ በተለይ የሚረቡ እንስሳት ምንድነው?
en-ET_415	What is the most common livestock raised in Ethiopia?
am-ET_416	በኢትዮጵያ በአብዛኛው ለእርሻ ስራ የሚያገለግሉ እንስሳት የትኞቹ ናቸው?
en-ET_416	What animals are commonly used for agriculture in Ethiopia?
am-ET_417	በኢትዮጵያ ገበሬዎች ከፀሐይ ሙቀት ራሳቸውን ለመከላከል  ምን ይለብሳሉ?
en-ET_417	What do farmers in Ethiopia typically wear to protect themselves from the heat whilst farming?
am-ET_418	በኢትዮጵያ እርሻ ሠራተኞች በምሳ ላይ በተለይ ምን ይበላሉ?
en-ET_418	What do farmers in Ethiopia usually eat for lunch?
am-ET_419	በኢትዮጵያ ወላጆች ለልጆቻቸው በልደታቸው ቀን በአብዛኛው ምን ስጦታዎች ይሰጣሉ?
en-ET_419	What gifts do parents generally give to their children for their birthdays in Ethiopia?
am-ET_420	በኢትዮጵያ አብዛኛው ቤተሰቦች የትኛው መኪና አይነት አላቸው?
en-ET_420	What type of vehicle do most families in Ethiopia generally own?
am-ET_421	በኢትዮጵያ ለልጆች ለኢድ ባዕል ምን ስጦታ ይሰጣል?
en-ET_421	What is usually given to the children during Eid in Ethiopia?
am-ET_422	በኢትዮጵያ ወንድ ሙሽራዎች በሰርጋቸው ቀን በተለይ የሚለብሱት አልባሳት ምንድነው?
en-ET_422	What clothes do grooms usually wear at weddings in Ethiopia?
am-ET_423	በኢትዮጵያ ሴት ሙሽራዎች በሰርጋቸው ቀን በተለይ የሚለብሱት አልባሳት ምንድነው?
en-ET_423	What clothes do brides usually wear at weddings in Ethiopia?
am-ET_424	በኢትዮጵያ ምን ዓይነት ምግብ በሰርግ ቀን ላይ ተመጣጣኝ ይሆናል?
en-ET_424	What food is usually served at weddings in Ethiopia?
am-ET_425	በኢትዮጵያ ውስጥ እጅግ ታዋቂ የመንግሥት ሕንጻ የትኛው ነው?
en-ET_425	What is the most famous government building in Ethiopia?
am-ET_426	በኢትዮጵያ ወጣቶች በእጅጉ የሚወዱት ሙዚቃ አይነት ምንድነው?
en-ET_426	What is the most popular music genre among the younger population in Ethiopia?
am-ET_427	በኢትዮጵያ የመካከለኛ ትምህርት ቤት ተማሪዎች የቀኑን ትምህርት የሚያጠናቅቁት ስንት ሰዓት ነው? (በሰዓት አስቀምጡ (ምሳሌ 10:00, 09:00) ይምረጡ።)
en-ET_427	What time do middle school students in Ethiopia typically finish school each day? (Provide in HH:MM format (e.g., 18:00, 09:00).)
am-ET_428	በኢትዮጵያ ሰዎች በምን ዕድሜ በተለይ ወደ ዩኒቨርስቲ ይሄዳሉ? (በአረብኛ ቁጥር ብቻ ምሳሌ 12 ይምረጡ።)
en-ET_428	At what age do people in Ethiopia typically go to university? (Provide Arabic numerals (e.g., 12) only.)
am-ET_429	በኢትዮጵያ ሰዎች ከስንት አመት ጀምሮ ወደ ትምህርት ቤት መሄድ አለባቸው? (በአረቢክ ቁጥሮች (ምሳሌ 12) ብቻ ይምላሉ።)
en-ET_429	From what age do people need to attend compulsory education in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_430	በኢትዮጵያ ልጆች በሳምንት ስንት ቀን ት/ቤት ይሄዳሉ? (ከ0 እስከ 7 ድረስ የዓረብ ቁጥሮችን ብቻ ያቅርቡ።)
en-ET_430	How many days a week do children attend school in Ethiopia? (Provide Arabic numerals (0~7) only.)
am-ET_431	በኢትዮጵያ የሁለተኛ ዲግሪ ለመጨረስ ስንት አመት ይፈጃል? (በአረቢክ ቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 12)።)
en-ET_431	In Ethiopia, how long (in years) does a Master's degree typically take to complete? (Provide Arabic numerals (e.g., 12) only.)
am-ET_432	በኢትዮጵያ ስመጥር ዩኒቨርስቲ ማን ነው? (የራሱን እጅግ የሚያመለክት ስም ያቅርቡ።)
en-ET_432	What is the top university in Ethiopia? (Provide the official name.)
am-ET_433	በኢትዮጵያ ባብዛኛው ሰዎች በስንት ዕድሜያቸው ከዩኒቨርስቲ ይመረቃሉ?(በአረቢኛ ቁጥሮች (ምሳሌ 12) ብቻ ይምረጡ።)
en-ET_433	At what age do most people in Ethiopia graduate from university? (Provide Arabic numerals (e.g., 12) only.)
am-ET_434	በኢትዮጵያ ልጆች በየትኛው ዕድሜ ያቸው ነው መካከለኛ ደርጃ ትምህርት ቤት የሚጀመሩት? (በቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 12)።)
en-ET_434	At what age do children in Ethiopia generally start middle school? (Provide Arabic numerals (e.g., 12) only.)
am-ET_435	በኢትዮጵያ አንድ ሙሉ ጊዜ ሠራተኛ በሳምንት ስንት ሰዓት ይሠራል? (በአረቢኛ ቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 12)።)
en-ET_435	How many hours a week does a full-time worker in Ethiopia typically work? (Provide Arabic numerals (e.g., 12) only.)
am-ET_436	በኢትዮጵያ አስተማማኝ ሙሉ ጊዜ ሠራተኛ በአንድ ሳምንት ስንት ቀን ይሠራል? (ከ0 እስከ 7 ድረስ የዓረብ ቁጥሮችን ብቻ ስጡ።)
en-ET_436	How many days a week does a full-time worker work in Ethiopia? (Provide Arabic numerals (0~7) only.)
am-ET_437	በኢትዮጵያ በተለይ ሰዎች ስራ የሚጀምሩ በስንት እድሜያቸው ነው? (በዓረብ ቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 12)።)
en-ET_437	At what age do most people start working in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_438	በኢትዮጵያ እንደሚሠራ የተፈቀደ እድሜ ምንነት ነው? (በአረቢክ ቁጥሮች ብቻ (ምሳሌ 12) ይምረጡ።)
en-ET_438	From what age is an individual allowed to work in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_439	በኢትዮጵያ ሰዎች ገና በአል ሲያከብሩ ምን ይመገባሉ?
en-ET_439	What do people in Ethiopia traditionally eat on Christmas Day?
am-ET_440	በኢትዮጵያ ሰዎች ፍቅርን እና ሮማንስን የሚያከብሩበት ዓመት ውስጥ የቀኑን ስም ምንድን ነው?
en-ET_440	What is the name of the day of the year where people in Ethiopia celebrate love and romance?
am-ET_441	በኢትዮጵያ ምን ዓይነት የገና ሙዚቃ እጅግ ታዋቂ ነው?
en-ET_441	What is the most popular Christmas song in Ethiopia?
am-ET_442	በኢትዮጵያ ሁለተኛ ደረጃ ትምህርት ቤቶች በአንድ ዓመት ስንት ሴሜስተሮች አሉ? (በዓረብ ቁጥሮች ብቻ ምላሽ ይስጡ (ምሳሌ 7, 8)።)
en-ET_442	How many semesters are there each academic year at high schools in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
am-ET_443	በኢትዮጵያ አዲስ የትምህርት ዓመት በየትኛው ወር ይጀምራል? (በአረብኛ ቁጥር (1~12) ብቻ ይምረጡ።)
en-ET_443	In which month does the new school year typically begin in Ethiopia? (Provide Arabic numerals (1~12) only.)
am-ET_444	በኢትዮጵያ ብሄራዊ መምህራን ቀን መቼ ይከበራል? (በወር/ቀን ቅጽ ይምረጡ (ምሳሌ 12/31).)
en-ET_444	When is National Teacher's Day commemorated in Ethiopia? (Provide in MM/DD format (e.g., 12/31).)
am-ET_445	በኢትዮጵያ የመጀመሪያ ደረጃ ትምህርት ቤት በምን ሰዓት ይጀምራል? (በኤችኤች:ኤምኤም ቅጽ ያቅርቡ (ምሳሌ 18:00, 09:00).)
en-ET_445	At what time does elementary school start in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
am-ET_446	በኢትዮጵያ የልጆች ቀን መቼ ይከበራል? (በወር/ቀን ቅጽ ይምረጡ (ምሳሌ 12/31).)
en-ET_446	When is Children's Day celebrated in Ethiopia? (Provide in MM/DD format (e.g., 12/31).)
am-ET_447	በኢትዮጵያ ለሥራ ፈላጊዎች ዋናው መድረሻ ከተማ ማንዣት ነው?
en-ET_447	Which city is the main destination for job seekers in Ethiopia?
am-ET_448	ኢትዮጵያውያን በጣም የተወደዱ ፈጣን ምግብ ሰንሰለት ምንድነው?
en-ET_448	What is Ethiopia's most popular fast food chain?
am-ET_449	በኢትዮጵያ ምን ዓይነት ምግብ ነው በጣም የሚከፋፈለው?
en-ET_449	What is the food that is most divisive (either love or hate) in Ethiopia?
am-ET_450	በኢትዮጵያ ሰዎች መካከል እጅግ ታዋቂ የእግር ኳስ ቡድን ማን ነው?
en-ET_450	What is the most popular soccer team among the people from Ethiopia?
am-ET_451	በኢትዮጵያ ስፖርት ቡድኑ የታወቀው እጅግ ዝናና ዩኒቨርስቲ ማንነት ምንድን ነው?
en-ET_451	What is the most famous university in Ethiopia known for its sports team?
am-ET_452	በኢትዮጵያ ቤተሰብ ተወዳጅ የቤት እንስሳ ምንድን ነው?
en-ET_452	What is Ethiopia's most popular family pet?
am-ET_453	በኢትዮጵያ ምን ዓይነት ቤተሰብ ቴሌቪዥን ሾው እጅግ ታዋቂ ነው?
en-ET_453	What is the most popular family TV show in Ethiopia?
am-ET_454	በኢትዮጵያ ምን ዓይነት ቤተሰብ ቦርድ ጌም እጅግ ታዋቂ ነው?
en-ET_454	What is the most popular family boardgame in Ethiopia?
am-ET_455	በኢትዮጵያ ምን ዓይነት የምግብ ቤት ምግብ እንደሚወስድ ታዋቂ ነው?
en-ET_455	What is the most popular takeaway food in Ethiopia?
am-ET_456	በኢትዮጵያ የታወቁ መክሰስ ምግቦች ምንናቸው?
en-ET_456	What are popular snacks in Ethiopia?
am-ET_457	በባህር ዳር ላይ የኢትዮጵያ ሰዎች ምን ይበላሉ?
en-ET_457	What do people from Ethiopia eat at the beach?
am-ET_458	በኢትዮጵያ ወንዶች በስንት ዓመት ጋብቻ ይፈጥማሉ? (በአረብኛ ቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 20)።)
en-ET_458	At what age do men usually get married in Ethiopia? (Provide Arabic numerals (e.g., 20) only.)
am-ET_459	በኢትዮጵያ ሴቶች በስንት ዓመት ጋብቻ ይፈጥማሉ? (በአረቢክ ቁጥር ብቻ ምላሽ ይስጡ (ምሳሌ 20)።)
en-ET_459	At what age do women usually get married in Ethiopia? (Provide Arabic numerals (e.g., 20) only.)
am-ET_460	በወላጆችዎ ትውልድ በኢትዮጵያ በቤተሰባቸው ውስጥ አማካይነት የነበሩት አባላት ብዛት ስንት ነበር? (በአረቢክ ቁጥሮች (ምሳሌ 20) ብቻ ይምረጡ።)
en-ET_460	In your parents' generation, what was the average number of members in their family in Ethiopia? (Provide Arabic numerals (e.g., 20) only.)
am-ET_461	በኦሊምፒክ ጨዋታዎች ውስጥ፣ እንዴት ዓይነት ስፖርት በኢትዮጵያ ታዋቂ ነው?
en-ET_461	In the Olympic Games, which sport is the most popular in Ethiopia?
am-ET_462	ልጆች በኢትዮጵያ በተለይ የእግር ኳስ የሚጫወቱበት ቦታ የት ነው?
en-ET_462	Where do children usually play soccer in Ethiopia?
am-ET_463	በኢትዮጵያ የተወዳጅ የዕለታዊ እንቅስቃሴ በሴቶች መካከል ምንድን ነው?
en-ET_463	Which daily exercise is popular among women in Ethiopia?
am-ET_464	በኢትዮጵያ ውስጥ ወንዶች መካከል በተመሳሳይ የሚደረግ ትርጉም እንደሚኖረው አውታረ መስመር ምንድን ነው?
en-ET_464	Which daily exercise is popular among men in Ethiopia?
am-ET_465	በኢትዮጵያ በብሔራዊ ስፖርት ሊግ ውስጥ እጅግ ዝነኛ የሆነ ፉክክር ምንድን ነው? (ምሳሌ: ___ ከ ___)
en-ET_465	What is the most famous rivalry in a national sports league in Ethiopia? (e.g., ___ vs ___)
am-ET_466	በኢትዮጵያ ውስጥ የትኛው ስፖርት እጅግ የሚከፍል ነው?
en-ET_466	Which professional sport is the highest paying in Ethiopia?
am-ET_467	በኢትዮጵያ ምን ነበር/ነው ተወዳጅ የስፖርት ተያያዥ ቴሌቪዥን ፕሮግራም?
en-ET_467	What is/was the most popular sports-related TV program in Ethiopia?
am-ET_468	በኢትዮጵያ የአመቱ ምን ቀን በተለይ ለርችት የተመደበ ነው?
en-ET_468	What day of the year is usually dedicated to fireworks in Ethiopia?
am-ET_469	በኢትዮጵያ የአዲስ አመት ምሽት በተለይ የተለመደ መለያ ምንድነው?
en-ET_469	What is the common symbol of New Year's Eve that is usually found in Ethiopia?
am-ET_470	በኢትዮጵያ ሰዎች በአዲስ አመት እለት ምን አይነት ምግብ ይበላሉ?
en-ET_470	What food do people from Ethiopia usually eat on New Year's Eve?
am-ET_471	በኢትዮጵያ በአመቱ ረዥም ሌሊት በዓል ላይ በተለይ ምን ይበላል?
en-ET_471	What is usually eaten during the celebration of the longest night of the year in Ethiopia?
am-ET_472	በኢትዮጵያ በክረምት ወቅት ምን ዓይነት ስፖርት ታዋቂ ነው?
en-ET_472	What is the most popular summer sport in Ethiopia?
am-ET_473	በኢትዮጵያ ምን ዓይነት የሙያዊ ስፖርት ሊግ እጅግ ታዋቂ ነው?
en-ET_473	What is the most popular professional sports league in Ethiopia?
am-ET_474	በኢትዮጵያ ምንም ተወዳጅ የሴቶች ስፖርት ቡድን ምንድን ነው?
en-ET_474	What is the most popular women's sports team in Ethiopia?
am-ET_475	በኢትዮጵያ ምን ዓይነት ውድድር እጅግ ታዋቂ ነው?
en-ET_475	What is the most popular tournament in Ethiopia?
am-ET_476	በኢትዮጵያ እጅግ ታዋቂ ስፖርተኛ የሆነ ሰው?
en-ET_476	Who is the most popular sportperson in Ethiopia?
am-ET_477	ኢትዮጵያ በአለም አቀፍ ውድድሮች ውስጥ በምን ስፖርት እጅግ ሰኬታም ናት?
en-ET_477	In which sport has Ethiopia been most successful in international competitions?
am-ET_478	በኢትዮጵያ በክረምት የተወደደ ስፖርት ምንድነው?
en-ET_478	What is the most popular winter sport in Ethiopia?
am-ET_479	በኢትዮጵያ ምን ከተማ ወይም ክልል ለአምራች ኢንዱስትሪ ታውቃለች?
en-ET_479	What is a city or region in Ethiopia known for manufacturing industry?
am-ET_480	በኢትዮጵያ ለሠራተኞች ተለይቶ የሚቀርብ እና እጅግ ዋና የሆነ ተጨማሪ አበል ምንድነው?
en-ET_480	What is regarded as the most important perk typically offered to employees in Ethiopia?
am-ET_481	ለኢትዮጵያ እጅግ አስቸጋሪ የኢኮኖሚ ድቀት ወቅት መቸ ነበር?
en-ET_481	What was the most catastrophic economic period for Ethiopia?
am-ET_482	በኢትዮጵያ ውስጥ ለቴክ ሠራተኞች እና ለእነሆም እንቅስቃሴዎች ዋና መሀል የሆነው ክልል ማንኛው ነው?
en-ET_482	What region in Ethiopia is a major hub for tech workers and start ups?
am-ET_483	በኢትዮጵያ እጅግ አስፈላጊ የሚሆን ኢንዱስትሪ ምንድነው?
en-ET_483	What is the most important industry in Ethiopia?
am-ET_484	በኢትዮጵያ በቤተሰብ አባላት ከተለያዩ የቀኑ ምግቦች መካከል ባብዛኛው አብረው የሚመገቡት የትኛው ነው? (ምሳሌ፣ እራት፣ ምሳ፣ እራት)
en-ET_484	Which one of the daily meals is commonly shared with family members in Ethiopia? (e.g., breakfast, lunch, dinner)
am-ET_485	በኢትዮጵያ በሳምንት መጨረሻ ቤተሰብ ከልጅ ጋር ለመስራት የታወቀ እንቅስቃሴ ምንድን ነው?
en-ET_485	What is a popular family activity with a child to do on weekends in Ethiopia?
am-ET_486	በኢትዮጵያ ልጆች ከወላጆቻቸው ከጥገኝነት በስንት እድሜአቸው ይወጣሉ? (በአረብኛ ቁጥር ብቻ ምላሽ ይስጡ (ምሳሌ 12)።)
en-ET_486	At what age do children typically become independent from their parents in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_487	በኢትዮጵያ ቤተሰብ የሚያከብሩት በአስፈላጊ በዓል የትኛው ነው?
en-ET_487	What is the most important family holiday in Ethiopia?
am-ET_488	በኢትዮጵያ ታዋቂ የቤተሰብ ጨዋታ ምንድነው?
en-ET_488	What is a popular family game in Ethiopia?
am-ET_489	በኢትዮጵያ አንድ ባል እና ሚስት በአማካይ የመጀመሪያ ልጅ የሚዎልዱ በስንት አመታቸው ነው? (በአረቢክ ቁጥሮች (ምሳሌ 20) ብቻ ይምረጡ።)
en-ET_489	What is the average age for couples to have their first child in Ethiopia? (Provide Arabic numerals (e.g., 20) only.)
am-ET_490	በኢትዮጵያ አንድ ቤተሰብ ውስጥ ስንት የመኪና ብዛት ይኖራል? (በአረቢክ ቁጥር (ምሳሌ 12) ብቻ ይምላሉ።)
en-ET_490	How many cars are owned by a typical family in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_491	በሳምንቱ መጨረሻ በቤተሰቦች ምግብ ላይ በተለይ የተወደደ የኢትዮጵያ ምግብ ምንድን ነው?
en-ET_491	What is Ethiopia's most popular food for family meals on weekends?
am-ET_492	በኢትዮጵያ በሳምንት ቀናት ምሽት ቤተሰቦች የሚወዱት እንቅስቃሴ ምንድን ነው?
en-ET_492	What is the most popular weekday evening family activity in Ethiopia?
am-ET_493	በኢትዮጵያ በምርመራና በፈተናዎች ላይ ከፍተኛ ውጤት ያሳዩ ተማሪዎች የተሰጣቸው ከፍተኛ ደረጃ ምንድነው?
en-ET_493	What is the highest grade given to top-achieving high school students on assignments and exams in Ethiopia?
am-ET_494	በኢትዮጵያ ለከፍለ ትምህርት ተማሪዎች እጅግ አስፈላጊ የሚቆጠር ፈተና ምንድን ነው?
en-ET_494	What is considered the most important exam for high school students in Ethiopia?
am-ET_495	በኢትዮጵያ በተማሪዎች ላይ እጅግ አስፈላጊ የሚቆጠር ምርምር ማንኛው ነው?
en-ET_495	Which subject is considered the most important for students in Ethiopia?
am-ET_496	በኢትዮጵያ ት/ቤቶች ውስጥ ታዋቂው ከመደበኛ ትምህርት ውጪ ማኅበራዊ ክስተት ምንድን ነው?
en-ET_496	What is the most popular extracurricular social event at schools in Ethiopia?
am-ET_497	በኢትዮጵያ ዩኒቨርስቲ በመግባት በፊት የተማሩት ከፍተኛ የሂሳብ ርዕስ ምንድን ነው?
en-ET_497	What is the most advanced math subject learned before university in Ethiopia?
am-ET_498	በኢትዮጵያ ዩኒቨርስቲ ተማሪዎች  ለማጠቃላያ ፈተናቸው ለማጥናት በተለይ የሚሄዱበት ስፍራ የት ነው?
en-ET_498	Where do university students in Ethiopia usually go to study for their final exams?
am-ET_499	በኢትዮጵያ ሰዎች በተለይ ወደ ዩኒቨርስቲ ለመሄድ  የሚጠቀሙበት የህዝብ ትራንስፖርት ምንድነው?
en-ET_499	What is a common public transport that people use to go to university in Ethiopia?
am-ET_500	በኢትዮጵያ የመጀመሪያ ደረጃ ተማሪዎች ከትምህርት ቤት በኋላ በተለይ ምን ያደርጋሉ?
en-ET_500	What do elementary students in Ethiopia usually do after school?
ar-DZ_001	ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟
en-DZ_001	What is a common snack for preschool kids in Algeria?
ar-DZ_002	ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟
en-DZ_002	What is a popular food to go with beer in Algeria?
ar-DZ_003	ما هي الفاكهة الأكثر شعبية في الجزائر؟
en-DZ_003	What is the most popular fruit in Algeria?
ar-DZ_004	ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟
en-DZ_004	What is a common school cafeteria food in Algeria?
ar-DZ_005	ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟
en-DZ_005	What are the most commonly eaten snacks at shopping malls in Algeria?
ar-DZ_006	ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟
en-DZ_006	What is a popular snack at an amusement park in Algeria?
ar-DZ_007	في أي سن يبدأ الأطفال الذهاب للروضة في الجزائر؟ (استعمل الأرقام العربية فقط (مثلاً، 12.)
en-DZ_007	At what age do kids start preschool in Algeria? (Provide Arabic numerals (e.g., 12) only.)
ar-DZ_008	ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟
en-DZ_008	What is a popular afterschool sport for elementary schools in Algeria?
ar-DZ_009	ما هي المادة التي يتلقى فيها أكثر تلاميذ الابتدائي دروسا خصوصية؟ 
en-DZ_009	For which subject do elementary students get private education in Algeria?
ar-DZ_010	ما هي اللغة الثانية الشائعة لطلاب الثانوية في الجزائر؟
en-DZ_010	What is a popular second language for high school students in Algeria?
ar-DZ_011	أي مادة هي الأهم لتعليم الموهوبين في الجزائر؟
en-DZ_011	Which subject is the most important for gifted education in Algeria?
ar-DZ_012	ما هو الطبق الرئيسي لعيد الشكر في الجزائر؟
en-DZ_012	What is the main dish for Thanksgiving in Algeria?
ar-DZ_013	ماذا يفعل الناس للاحتفال بعيد الهالوين في الجزائر؟
en-DZ_013	What do people do to celebrate Halloween in Algeria?
ar-DZ_014	كيف يحتفل الناس برأس السنة الجديدة في الجزائر؟ 
en-DZ_014	What do people do to celebrate New Year's Day in Algeria?
ar-DZ_015	ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟
en-DZ_015	What do people do to celebrate Christmas in Algeria?
ar-DZ_016	أي نوع من الطعام يرتبط بعيد الهالوين في الجزائر؟
en-DZ_016	What food is associated with Halloween in Algeria?
ar-DZ_017	ما هي الأطعمة المرتبطة بعيد الميلاد في الجزائر؟
en-DZ_017	What food is associated with Christmas in Algeria?
ar-DZ_018	ما هو الطعام المرتبط بعيد الحب في الجزائر؟
en-DZ_018	What food is associated with Valentine's day in Algeria?
ar-DZ_019	ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟
en-DZ_019	What do people eat on their birthday in Algeria?
ar-DZ_020	ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟
en-DZ_020	What is a popular outdoor place for families to have fun with little kids in Algeria?
ar-DZ_021	ما هي الأنشطة العائلية المنزلية في الجزائر؟
en-DZ_021	What is a popular indoor activity for families in Algeria?
ar-DZ_022	أين يتناول طلبة الجامعة غداءهم في الجزائر؟
en-DZ_022	Where do university students have lunch in Algeria?
ar-DZ_023	في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12)
en-DZ_023	Which month is the final exam term usually scheduled at high schools in Algeria? (Provide Arabic numerals (1~12) only.)
